Model,Dataset_Size,Mean_Error_m,Median_Error_m,Std_Error_m,Min_Error_m,Max_Error_m,Accuracy_50cm,Accuracy_1m,Accuracy_2m,Accuracy_3m,Test_Samples
BasicCNN,250,2.552829320295361,2.5243231446139176,0.8420624955492935,0.15287325371777447,4.246665459901363,0.16268980477223427,0.5151843817787419,22.7765726681128,74.64750542299349,3688
MultiScaleCNN,250,2.5835858935339764,2.6871465711602514,0.7656836427924205,0.7258875591793384,4.39184906696176,0.0,3.3622559652928414,21.475054229934923,70.47180043383948,3688
AttentionCNN,250,2.280472914162409,2.336934431870031,0.9361962228825859,0.13721605842287915,4.1093757502734904,0.1898047722342733,7.646420824295011,42.651843817787416,70.9056399132321,3688
HybridCNN,250,1.8850772099234114,2.0697378652296585,1.0707713066424243,0.2104181850098491,4.534173066804403,0.8134490238611713,37.255965292841644,47.55965292841648,81.01952277657267,3688
ResidualCNN,250,2.5441023055443606,2.594921863911586,0.779926879143606,0.34455538235516964,3.7280788411075103,0.027114967462039046,1.4913232104121477,25.6236442516269,61.93058568329718,3688
BasicCNN,500,2.057275531103179,2.272003515141086,0.7984057519128659,0.1684218839485869,3.70500839550962,0.7049891540130151,16.54013015184382,41.59436008676789,95.36334056399133,3688
MultiScaleCNN,500,2.662071660819885,2.7462860908577884,0.9033751966462441,0.5834292930778402,4.359672233458947,0.0,8.51409978308026,22.45119305856833,60.68329718004338,3688
AttentionCNN,500,2.6924677731852196,2.78529798173439,0.7334565189082913,0.27977801117956275,4.356850733659619,0.05422993492407809,0.6778741865509762,21.447939262472886,64.69631236442517,3688
HybridCNN,500,1.7585325961630531,1.6100552402093053,0.791462028672866,0.05391838035210495,4.558017677357929,1.843817787418655,22.424078091106292,68.49240780911063,89.587852494577,3688
ResidualCNN,500,2.346610202765297,2.561176213242235,0.7074220378155319,0.6555524077070011,4.151635521927033,0.0,0.6236442516268981,30.314533622559654,84.27331887201736,3688
BasicCNN,750,2.30558438587483,2.315961718668511,0.8681263669388056,0.1299649311690366,4.44270915423374,0.596529284164859,3.009761388286334,44.251626898047725,78.85032537960954,3688
MultiScaleCNN,750,2.5058840147460133,2.6316056339366543,0.8420994858478723,0.5194395040278367,4.030105473023331,0.0,3.0639913232104123,25.081344902386114,63.93709327548807,3688
AttentionCNN,750,2.1233846713731577,1.806536761074411,0.918004501328,0.09536295530214747,4.287391936012837,0.5422993492407809,8.81236442516269,57.51084598698482,73.29175704989154,3688
HybridCNN,750,2.370254949678578,2.558593651568336,1.0014403399589138,0.08379591211715637,4.562684367472626,0.43383947939262474,19.929501084598698,27.440347071583517,70.49891540130152,3688
ResidualCNN,750,2.1576854211817587,2.3611320485995355,0.7990369805013207,0.19569960163902633,3.8632341012237146,0.4067245119305857,5.938177874186551,46.393709327548805,78.09110629067246,3688
